Bodyweight,Estimated_Peak_Dots,CI_Lower,CI_Upper,Valid_Iterations
57.618611428571434,389.9759158038308,381.6663776869477,397.48327383847555,100
58.511438080808084,390.7910179034664,382.8969303791794,397.94082736662074,100
59.40426473304474,391.60612000310203,384.1274830714111,398.4001359074743,100
60.29709138528139,392.42122210273783,385.38483990915313,398.79044859930195,100
61.18991803751804,393.23632420237334,386.8443831690743,399.12891979351394,100
62.08274468975469,394.05142630200913,388.30392642899545,399.467390987726,100
62.97557134199135,394.86652840164504,389.5387119250163,399.8058621819379,100
63.868397994228,395.6816305012807,390.7266068046005,400.1443333761499,100
64.76122464646465,396.4967199855569,391.91450168418476,400.61627526203256,100
65.6540512987013,397.31074614650504,393.12306424038945,400.9914352452526,100
66.54687795093795,398.11855151047746,394.4205269896193,401.4295779422525,100
67.4397046031746,398.91353942334166,395.6914399245204,402.2770949120089,100
68.33253125541125,399.6891004315964,396.82853275334696,403.1588631657218,100
69.2253579076479,400.4386250817408,397.6199039594715,404.00833521192897,100
70.11818455988455,401.1555039202729,398.34364226047614,404.77139666651084,100
71.01101121212122,401.8331274936931,398.81661310769965,405.34498155021936,100
71.90383786435787,402.46488634849925,399.2298795971782,405.88673113506985,100
72.79666451659452,403.04417103119044,399.62062156989737,406.56998579744214,100
73.68949116883117,403.5643720882653,399.9879228737181,407.33153487256214,100
74.58231782106782,404.01888088647183,400.3283982362809,407.9282632980074,100
75.47514447330447,404.401291542152,400.67605592955675,408.3023199749019,100
76.36797112554112,404.70576495498216,401.05095926950014,408.57873597029334,100
77.26079777777778,404.9265819873652,401.4121869353972,408.73924817833404,100
78.15362443001442,405.05824857620775,401.7605475463522,408.72348779244237,100
79.04645108225108,405.09614653851463,402.0567558711703,408.6460335210998,100
79.93927773448773,405.0388861257246,402.1039479972146,408.5046207735013,100
80.83210438672438,404.89210211798667,401.6961085148041,408.1955330983271,100
81.72493103896103,404.6696749584937,401.41489879525886,407.6839101856709,100
82.61775769119768,404.38763193565467,401.2145587635439,407.08024994127317,100
83.51058434343433,404.06202230060154,400.76648068632096,406.6356904659137,100
84.40341099567098,403.7088953044659,400.09400016172316,406.46759240165125,100
85.29623764790765,403.3443001983808,399.49568340108556,406.0478479675593,100
86.1890643001443,402.98428623347746,399.06115764797636,405.6537427897697,100
87.08189095238095,402.64490266088865,398.73195693633596,405.45481475771425,100
87.9747176046176,402.342198731746,398.4631965941294,405.11872379225485,100
88.86754425685425,402.0922236971816,398.2731657529485,405.0314984506772,100
89.76037090909091,401.91102678707887,398.1065073704428,405.2043334334493,100
90.65319756132754,401.8137174179504,397.8563492276982,405.3245323963275,100
91.54602421356421,401.8036294311514,397.7635681857572,405.46129772354067,100
92.43885086580084,401.8729131868854,397.81516840179404,405.61264478841497,100
93.33167751803751,402.01298935854123,397.9956004169257,405.70774768957307,100
94.22450417027416,402.21527861950824,398.28537050737236,405.77511984328453,100
95.11733082251081,402.4712016431749,398.67451644641716,405.8445303192047,100
96.01015747474746,402.77217910293126,399.14832788590894,405.9967919579833,100
96.90298412698411,403.1096316721656,399.69099365309177,406.22259028674364,100
97.79581077922077,403.4749800242677,400.28600641809896,406.4472199670195,100
98.68863743145741,403.8596448326265,400.77959093723166,406.74033294560724,100
99.58146408369407,404.25504677063094,401.2821611856707,407.0780319169914,100
100.47429073593072,404.6526065116699,401.63807695868655,407.36384058995105,100
101.36711738816737,405.04374472913315,402.11594824357167,407.6426104142479,100
102.25994404040402,405.41988209640897,402.54055787506564,408.0630006611888,100
103.15277069264067,405.7725126248178,402.9273157521978,408.58850969026304,100
104.04559734487734,406.0960058809347,403.29002263299475,408.9758805454614,100
104.93842399711397,406.3903936229098,403.6280135014474,409.3209163446509,100
105.83125064935064,406.65663539918467,403.89315202659594,409.71211026273903,100
106.72407730158729,406.8956915843517,404.1072501587907,410.06658865067755,100
107.61690395382394,407.1085225530042,404.2972446596383,410.3671259060314,100
108.50973060606059,407.296088679735,404.5338519321366,410.6157314530979,100
109.40255725829724,407.459350339138,404.69139067275756,410.814414716174,100
110.2953839105339,407.59926790580533,404.76794959061004,410.9651851195571,100
111.18821056277054,407.7168017543304,404.84145997917494,411.07005208754424,100
112.0810372150072,407.81291225930624,404.91204178311807,411.1310250444326,100
112.97386386724384,407.888559795326,404.97981494710535,411.1501134145193,100
113.8666905194805,407.9447047369831,405.0448994158028,411.1293266221016,100
114.75951717171715,407.98230745887037,405.10428732998326,411.0706740914765,100
115.6523438239538,408.0023283355804,405.13984066147714,411.0255381516722,100
116.54517047619046,408.00572774170723,405.167629106211,410.97289077916446,100
117.4379971284271,407.9934660518429,405.16662280600474,410.96011614256855,100
118.33082378066376,407.96650364058144,404.98311236047056,410.9962302341062,100
119.2236504329004,407.9258008825154,404.8322730831367,411.02011413317257,100
120.11647708513706,407.8723181522379,404.72055259446495,411.0353221835747,100
121.00930373737371,407.807015824342,404.5886854529271,411.04202691957613,100
121.90213038961036,407.730854273421,404.44581513807793,410.98269276686494,100
122.79495704184703,407.64479387406806,404.29291586104495,410.80968047940513,100
123.68778369408366,407.5497950008758,404.04216379169844,410.73705632681833,100
124.58061034632033,407.44681802843763,403.7553520677517,410.7712676937458,100
125.47343699855696,407.3368233313468,403.4585573810355,410.7887729332882,100
126.36626365079363,407.2207712841963,403.1530902812774,410.7334886092255,100
127.25909030303026,407.09962156472267,402.840261318205,410.73124704546467,100
128.15191695526693,406.9743247953556,402.5213810415457,410.77756228817174,100
129.0447436075036,406.8458201591991,402.1977600010272,410.8233503870872,100
129.93757025974023,406.71502739572423,401.8707087463769,410.8687613831536,100
130.8303969119769,406.5827766243089,401.5415378273225,410.9139371328023,100
131.72322356421353,406.44972595548074,401.2289563323037,410.95267605596376,100
132.6160502164502,406.3163044338944,400.9542664953889,410.9869320486599,100
133.50887686868683,406.18277297787455,400.6795466178654,411.09352065070584,100
134.4017035209235,406.04923215283355,400.4048267403419,411.2001100833486,100
135.29453017316015,405.91569130162895,400.13010686281825,411.3066995159912,100
136.1873568253968,405.7821504504246,399.8553869852947,411.413288948634,100
137.08018347763345,405.6486095992201,399.58066710777115,411.51987838127667,100
137.9730101298701,405.51506874801527,399.3059472302476,411.6320999735887,100
138.86583678210675,405.3815278968105,399.03122735272404,411.74788688016605,100
139.7586634343434,405.2479870456061,398.75650747520046,411.8636737867435,100
140.65149008658005,405.1144461944013,398.4515917843329,411.97946069332085,100
141.5443167388167,404.98090534319664,398.12088633326175,412.0952475998982,100
142.43714339105335,404.8473644919922,397.69308362235137,412.2110345064756,100
143.32997004329002,404.7138236407874,397.26473676080184,412.32332478987075,100
144.22279669552665,404.58028278958284,396.8347547979806,412.3909027907224,100
145.11562334776332,404.44674193837824,396.4047728351594,412.458480791574,100
146.00844999999995,404.31320108717364,395.9747908723382,412.5260587924256,100
